gene_id	trimmed_mean_expression
ENSG00000051825.15	30.42264
ENSG00000052126.14	7.533568
ENSG00000052344.16	1.0763818
ENSG00000052723.12	24.07862
ENSG00000052749.14	68.64436
ENSG00000052795.13	11.128756
ENSG00000052802.13	14.251354
ENSG00000052841.15	38.843536
ENSG00000052850.8	0.64729065
ENSG00000053108.17	0.13503733
ENSG00000053254.16	43.958973
ENSG00000053328.8	0.863666
ENSG00000053371.12	54.76334
ENSG00000053372.5	24.627125
ENSG00000053438.11	15.609366
ENSG00000053501.13	20.307112
ENSG00000053524.12	0.45220828
ENSG00000053702.15	13.34395
ENSG00000053747.17	0.52915597
ENSG00000053770.12	9.564473
ENSG00000053900.11	14.318015
ENSG00000053918.18	14.156288
ENSG00000054116.12	25.065285
ENSG00000054118.15	125.90271
ENSG00000054148.18	44.61479
ENSG00000054179.12	0.41347125
ENSG00000054219.11	8.461255
ENSG00000054267.22	43.581497
ENSG00000054277.14	1.997791
ENSG00000054282.16	21.505621
ENSG00000054356.14	0.22267123
ENSG00000054392.13	3.242417
ENSG00000054523.18	16.755592
ENSG00000054598.9	19.107481
ENSG00000054611.14	23.719166
ENSG00000054654.19	8.611886
ENSG00000054690.14	0.7470952
ENSG00000054793.14	6.8091464
ENSG00000054796.13	0.016343351
ENSG00000054803.4	0.0063302466
ENSG00000054938.16	0.16305006
ENSG00000054965.11	32.564163
ENSG00000054967.13	77.72848
ENSG00000054983.17	20.677963
ENSG00000055044.11	76.1887
ENSG00000055070.17	74.62611
ENSG00000055118.16	15.646296
ENSG00000055130.17	39.682713
ENSG00000055147.19	7.3358164
ENSG00000055163.20	56.750786
ENSG00000055208.19	100.16526
ENSG00000055211.14	47.70628
ENSG00000055332.18	48.97704
ENSG00000055483.19	63.04278
ENSG00000055609.19	84.006584
ENSG00000055732.13	0.12678748
ENSG00000055813.6	0.057837337
ENSG00000055917.16	106.50579
ENSG00000055950.16	11.450987
ENSG00000055955.17	0.5826676
ENSG00000055957.11	0.32232574
ENSG00000056050.7	15.23373
ENSG00000056097.16	89.59508
ENSG00000056277.16	8.660189
ENSG00000056291.17	0.022881279
ENSG00000056487.16	0.057127293
ENSG00000056558.11	25.260847
ENSG00000056586.16	30.350422
ENSG00000056736.10	2.850299
ENSG00000056972.20	14.817987
ENSG00000056998.20	1.4042343
ENSG00000057019.16	1.9290104
ENSG00000057149.16	0.0050843353
ENSG00000057252.13	29.947968
ENSG00000057294.15	1.9498571
ENSG00000057468.7	0.6815388
ENSG00000057593.14	0.08745921
ENSG00000057608.17	208.65926
ENSG00000057657.17	10.872774
ENSG00000057663.16	17.108294
ENSG00000057704.13	6.437423
ENSG00000057757.10	88.557236
ENSG00000057935.14	4.1113586
ENSG00000058056.9	7.1155033
ENSG00000058063.16	68.48646
ENSG00000058085.15	0.030442268
ENSG00000058091.17	12.031212
ENSG00000058262.10	144.89384
ENSG00000058272.19	40.60126
ENSG00000058335.16	0.28388914
ENSG00000058404.20	0.2330257
ENSG00000058453.17	7.104148
ENSG00000058600.16	22.872154
ENSG00000058668.15	69.51139
ENSG00000058673.17	0.83832854
ENSG00000058729.11	9.029742
ENSG00000058799.15	25.974812
ENSG00000058804.12	19.128304
ENSG00000058866.15	10.561827
ENSG00000059122.17	20.185705
ENSG00000059145.19	16.313553
ENSG00000059377.18	40.526253
ENSG00000059378.13	29.391083
ENSG00000059573.9	43.776432
ENSG00000059588.10	56.98493
ENSG00000059691.12	3.7216742
ENSG00000059728.11	110.01136
ENSG00000059758.8	48.517174
ENSG00000059769.20	13.789192
ENSG00000059804.16	232.00385
ENSG00000059915.17	6.048212
ENSG00000060069.17	53.530697
ENSG00000060138.13	97.39675
ENSG00000060140.9	1.80119
ENSG00000060237.18	89.18
ENSG00000060303.5	3.4168212
ENSG00000060339.14	54.139862
ENSG00000060491.16	45.404903
ENSG00000060558.4	208.79129
ENSG00000060566.14	0.4570699
ENSG00000060642.11	10.116409
ENSG00000060656.20	0.74481964
ENSG00000060688.13	30.259476
ENSG00000060709.15	0.049209457
ENSG00000060718.22	0.09756069
ENSG00000060749.16	16.586773
ENSG00000060762.19	39.923935
ENSG00000060971.19	24.078932
ENSG00000060982.15	16.464655
ENSG00000061273.18	35.16322
ENSG00000061337.15	0.4538085
ENSG00000061455.11	0.020664824
ENSG00000061492.12	0.23293288
ENSG00000061656.10	7.098002
ENSG00000061676.15	0.45981282
ENSG00000061794.13	54.00732
ENSG00000061918.14	9.384437
ENSG00000061936.10	31.805738
ENSG00000061938.20	37.244328
ENSG00000061987.16	21.20807
